Initialized in 0.000016 s
Acceleration calculated in 0.001400 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001390 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001388 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001398 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001384 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001387 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001416 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001393 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001412 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001403 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001390 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001405 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001390 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001411 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001392 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001401 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001387 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001397 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001387 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001399 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001385 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001388 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001385 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001395 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001385 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001388 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001388 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001387 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001391 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001387 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001393 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001394 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001384 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001390 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001392 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.001388 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001384 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001388 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001387 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001388 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001386 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001425 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001374 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001375 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001389 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001378 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001377 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001377 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001376 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001377 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001387 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001377 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001380 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001375 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001375 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001380 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001376 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001379 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001379 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001376 s
Solution calculated in 0.000032 s
Problem solved in 0.142702 s, 0.001427 per timestep with 1000 particles
Output written in 0.008639 s
Program finished in 0.151743 s. Exiting...
5	0.151744
Initialized in 0.000018 s
Input read in 0.000254 s
Threads setup in 0.000019 s
Acceleration calculated in 0.001510 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001187 s
Solution calculated in 0.000035 s
Acceleration calculated in 0.001169 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001169 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.001185 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001172 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001183 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001191 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001170 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001186 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001169 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001174 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001169 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001196 s
Solution calculated in 0.000031 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001185 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001165 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.001184 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001188 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001183 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001190 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001173 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001188 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001174 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001185 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001183 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001189 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001169 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001169 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001189 s
Solution calculated in 0.000032 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001181 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001176 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001181 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001179 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001169 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001176 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001177 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001165 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001177 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001178 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001165 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001170 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001174 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001173 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001176 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001166 s
Solution calculated in 0.000039 s
Acceleration calculated in 0.001179 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001168 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001170 s
Solution calculated in 0.000036 s
Acceleration calculated in 0.001172 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001167 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001174 s
Solution calculated in 0.000033 s
Problem solved in 0.121129 s, 0.001211 per timestep with 1000 particles
Output written in 0.008782 s
Program finished in 0.130247 s. Exiting...
6	0.130249
Initialized in 0.000015 s
Input read in 0.000427 s
Threads setup in 0.000022 s
Acceleration calculated in 0.001379 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001043 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001026 s
Solution calculated in 0.000033 s
Acceleration calculated in 0.001024 s
Solution calculated in 0.000034 s
Acceleration calculated in 0.001024 s
